날짜,확진자 수
2020-01-01,0
2020-02-01,2
2020-02-02,13
2020-02-03,-15
2020-02-04,19
2020-02-05,4
2020-02-06,1
2020-02-07,0
2020-02-08,3
2020-02-09,0
2020-02-10,1
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,20
2020-02-19,53
2020-02-20,100
2020-02-21,229
2020-02-22,169
2020-02-23,231
2020-02-24,144
2020-02-25,284
2020-02-26,505
2020-02-27,571
2020-02-28,813
2020-02-29,586
2020-03-01,476
2020-03-02,600
2020-03-03,516
2020-03-04,438
2020-03-05,518
2020-03-06,483
2020-03-07,367
2020-03-08,248
2020-03-09,131
2020-03-10,242
2020-03-11,114
2020-03-12,110
2020-03-13,107
2020-03-14,76
2020-03-15,74
2020-03-16,84
2020-03-17,93
2020-03-18,152
2020-03-19,87
2020-03-20,147
2020-03-21,98
2020-03-22,64
2020-03-23,76
2020-03-24,100
2020-03-25,104
2020-03-26,91
2020-03-27,146
2020-03-28,105
2020-03-29,78
2020-03-30,125
2020-03-31,101
2020-04-01,89
2020-04-02,86
2020-04-03,94
2020-04-04,81
2020-04-05,47
2020-04-06,47
2020-04-07,53
2020-04-08,39
2020-04-09,27
2020-04-10,30
2020-04-11,32
2020-04-12,25
2020-04-13,27
2020-04-14,27
2020-04-15,22
2020-04-16,22
2020-04-17,18
2020-04-18,8
2020-04-19,13
2020-04-20,9
2020-04-21,11
2020-04-22,8
2020-04-23,6
2020-04-24,10
2020-04-25,10
2020-04-26,10
2020-04-27,14
2020-04-28,9
2020-04-29,4
2020-04-30,9
2020-05-01,6
2020-05-02,13
2020-05-03,8
2020-05-04,3
2020-05-05,2
2020-05-06,4
2020-05-07,12
2020-05-08,18
2020-05-09,34
2020-05-10,35
2020-05-11,27
2020-05-12,26
2020-05-13,29
2020-05-14,27
2020-05-15,19
2020-05-16,13
2020-05-17,15
2020-05-18,13
2020-05-19,32
2020-05-20,12
2020-05-21,20
2020-05-22,23
2020-05-23,25
2020-05-24,16
2020-05-25,19
2020-05-26,40
2020-05-27,79
2020-05-28,58
2020-05-29,39
2020-05-30,27
2020-05-31,35
2020-06-01,38
2020-06-02,49
2020-06-03,39
2020-06-04,39
2020-06-05,51
2020-06-06,57
2020-06-07,37
2020-06-08,38
2020-06-09,50
2020-06-10,45
2020-06-11,56
2020-06-12,48
2020-06-13,34
2020-06-14,37
2020-06-15,34
2020-06-16,43
2020-06-17,59
2020-06-18,49
2020-06-19,67
2020-06-20,48
2020-06-21,17
2020-06-22,46
2020-06-23,51
2020-06-24,28
2020-06-25,39
2020-06-26,51
2020-06-27,62
2020-06-28,42
2020-06-29,42
2020-06-30,51
2020-07-01,54
2020-07-02,61
2020-07-03,63
2020-07-04,61
2020-07-05,48
2020-07-06,44
2020-07-07,62
2020-07-08,50
2020-07-09,45
2020-07-10,35
2020-07-11,44
2020-07-12,62
2020-07-13,33
2020-07-14,39
2020-07-15,61
2020-07-16,60
2020-07-17,39
2020-07-18,34
2020-07-19,26
2020-07-20,45
2020-07-21,63
2020-07-22,59
2020-07-23,41
2020-07-24,113
2020-07-25,58
2020-07-26,25
2020-07-27,28
2020-07-28,48
2020-07-29,18
2020-07-30,36
2020-07-31,31
2020-08-01,30
2020-08-02,23
2020-08-03,34
2020-08-04,33
2020-08-05,43
2020-08-06,20
2020-08-07,43
2020-08-08,36
2020-08-09,28
2020-08-10,34
2020-08-11,54
2020-08-12,56
2020-08-13,103
2020-08-14,166
2020-08-15,279
2020-08-16,197
2020-08-17,246
2020-08-18,297
2020-08-19,288
2020-08-20,324
2020-08-21,332
2020-08-22,396
2020-08-23,266
2020-08-24,280
2020-08-25,320
2020-08-26,441
2020-08-27,371
2020-08-28,323
2020-08-29,299
2020-08-30,248
2020-08-31,235
2020-09-01,267
2020-09-02,195
2020-09-03,198
2020-09-04,168
2020-09-05,167
2020-09-06,119
2020-09-07,136
2020-09-08,156
2020-09-09,155
2020-09-10,176
2020-09-11,136
2020-09-12,121
2020-09-13,109
2020-09-14,106
2020-09-15,113
2020-09-16,153
2020-09-17,126
2020-09-18,110
2020-09-19,82
2020-09-20,70
2020-09-21,61
2020-09-22,110
2020-09-23,125
2020-09-24,114
2020-09-25,61
2020-09-26,95
2020-09-27,50
2020-09-28,38
2020-09-29,113
2020-09-30,77
2020-10-01,63
2020-10-02,75
2020-10-03,64
2020-10-04,73
2020-10-05,75
2020-10-06,114
2020-10-07,69
2020-10-08,54
2020-10-09,72
2020-10-10,58
2020-10-11,98
2020-10-12,102
2020-10-13,73
2020-10-14,110
2020-10-15,47
2020-10-16,73
2020-10-17,91
2020-10-18,76
2020-10-19,58
2020-10-20,89
2020-10-21,121
2020-10-22,155
2020-10-23,77
2020-10-24,61
2020-10-25,119
2020-10-26,88
2020-10-27,103
2020-10-28,125
2020-10-29,113
2020-10-30,127
2020-10-31,124
2020-11-01,97
2020-11-02,75
2020-11-03,117
2020-11-04,125
2020-11-05,145
2020-11-06,89
2020-11-07,143
2020-11-08,126
2020-11-09,100
2020-11-10,145
2020-11-11,143
2020-11-12,191
2020-11-13,205
2020-11-14,208
2020-11-15,222
2020-11-16,230
2020-11-17,285
2020-11-18,325
2020-11-19,348
2020-11-20,386
2020-11-21,330
2020-11-22,271
2020-11-23,349
2020-11-24,382
2020-11-25,581
2020-11-26,555
2020-11-27,503
2020-11-28,450
2020-11-29,438
2020-11-30,451
2020-12-01,511
2020-12-02,540
2020-12-03,628
2020-12-04,577
2020-12-05,631
2020-12-06,615
2020-12-07,1257
2020-12-09,-531
2020-12-08,1211
2020-12-10,689
2020-12-11,950
2020-12-12,1030
2020-12-13,718
2020-12-14,880
2020-12-15,1078
2020-12-16,1014
2020-12-17,1064
2020-12-18,1045
2020-12-19,1097
2020-12-20,924
2020-12-21,866
2020-12-22,1090
2020-12-23,985
2020-12-24,1240
2020-12-25,1131
2020-12-26,970
2020-12-27,806
2020-12-28,1044
2020-12-29,1050
2020-12-30,967
2020-12-31,1027
2021-01-01,820
2021-01-02,657
2021-01-03,1020
2021-01-04,714
2021-01-05,838
2021-01-06,869
2021-01-07,674
2021-01-08,641
2021-01-09,657
2021-01-10,451
2021-01-11,537
2021-01-12,561
2021-01-13,524
2021-01-14,512
2021-01-15,580
2021-01-16,909
2021-01-18,386
2021-01-19,404
2021-01-20,400
2021-01-21,346
2021-01-22,431
2021-01-23,392
2021-01-24,437
2021-01-25,349
2021-01-26,559
2021-01-27,497
2021-01-28,469
2021-01-29,456
2021-01-30,354
2021-01-31,305
2021-02-01,336
2021-02-02,467
2021-02-03,451
2021-02-04,370
2021-02-05,390
2021-02-06,371
2021-02-07,288
2021-02-08,303
2021-02-09,444
2021-02-10,504
2021-02-11,403
2021-02-12,362
2021-02-13,326
2021-02-14,343
2021-02-15,457
2021-02-16,621
2021-02-17,621
2021-02-18,561
2021-02-19,449
2021-02-20,415
2021-02-21,332
2021-02-22,356
2021-02-23,440
2021-02-24,395
2021-02-25,387
2021-02-26,415
2021-02-27,355
2021-02-28,355
2021-03-01,344
2021-03-02,444
2021-03-03,424
2021-03-04,398
2021-03-05,418
2021-03-06,416
2021-03-07,346
2021-03-08,446
2021-03-09,470
2021-03-10,465
2021-03-11,488
2021-03-12,490
2021-03-13,459
2021-03-14,379
2021-03-15,363
2021-03-16,469
2021-03-17,445
2021-03-18,463
2021-03-19,447
2021-03-20,456
2021-03-21,415
2021-03-22,346
2021-03-23,428
2021-03-24,430
2021-03-25,489
2021-03-26,505
2021-03-27,482
2021-03-28,382
2021-03-29,447
2021-03-30,506
2021-03-31,551
2021-04-01,557
2021-04-02,543
2021-04-03,542
2021-04-04,474
2021-04-05,477
2021-04-06,668
2021-04-07,700
2021-04-08,671
2021-04-09,677
2021-04-10,614
2021-04-11,587
2021-04-12,542
2021-04-13,731
2021-04-14,698
2021-04-15,673
2021-04-16,658
2021-04-17,671
2021-04-18,532
2021-04-19,549
2021-04-20,-42866
2021-01-17,43597
2021-04-21,735
2021-04-22,797
2021-04-23,785
2021-04-24,644
2021-04-25,499
2021-04-26,512
2021-04-27,768
2021-04-28,680
2021-04-29,661
2021-04-30,627
2021-05-01,606
2021-05-02,488
2021-05-03,541
2021-05-04,676
2021-05-05,574
2021-05-06,525
2021-05-07,701
2021-05-08,564
2021-05-09,463
2021-05-10,510
2021-05-11,636
2021-05-12,715
2021-05-13,747
2021-05-14,681
2021-05-15,610
2021-05-16,619
2021-05-17,528
2021-05-18,653
2021-05-19,646
2021-05-20,561
2021-05-21,666
2021-05-22,585
2021-05-23,530
2021-05-24,516
2021-05-25,699
2021-05-26,637
2021-05-27,587
2021-05-28,533
2021-05-29,479
2021-05-30,430
2021-05-31,459
2021-06-01,677
2021-06-02,681
2021-06-03,695
2021-06-04,744
2021-06-05,556
2021-06-06,485
2021-06-07,453
2021-06-08,602
2021-06-09,611
2021-06-10,554
2021-06-11,565
2021-06-12,452
2021-06-13,399
2021-06-14,373
2021-06-15,545
2021-06-16,540
2021-06-17,507
2021-06-18,482
2021-06-19,429
2021-06-20,357
2021-06-21,394
2021-06-22,645
2021-06-23,610
2021-06-24,634
2021-06-25,668
2021-06-26,614
2021-06-27,501
2021-06-28,595
2021-06-29,794
2021-06-30,761
2021-07-01,826
2021-07-02,794
2021-07-03,742
2021-07-04,711
2021-07-05,746
2021-07-06,1212
