날짜,요일,경기장,날씨,평균기온,관중수,확진자 수
2019-05-02,목,서울 잠실 야구장,맑음,25.3℃,9806,0
2019-05-03,금,서울 잠실 야구장,맑음,26.1℃,24133,0
2019-05-04,토,서울 잠실 야구장,구름조금,27.4℃,25000,0
2019-05-05,일,서울 잠실 야구장,구름조금,26.5℃,25000,0
2019-05-07,화,서울 잠실 야구장,맑음,21.9℃,13196,0
2019-05-08,수,서울 잠실 야구장,구름많음,21.3℃,12115,0
2019-05-09,목,서울 잠실 야구장,구름조금,22.9℃,16281,0
2019-05-10,금,서울 잠실 야구장,구름조금,26.8℃,19399,0
2019-05-11,토,서울 잠실 야구장,맑음,28.3℃,25000,0
2019-05-12,일,서울 잠실 야구장,구름조금,28.9℃,21860,0
2019-05-14,화,서울 잠실 야구장,맑음,26.9℃,12127,0
2019-05-15,수,서울 잠실 야구장,구름조금,28℃,12085,0
2019-05-16,목,서울 잠실 야구장,맑음,30℃,15267,0
2019-05-17,금,서울 잠실 야구장,구름많음,28.3℃,11998,0
2019-05-18,토,서울 잠실 야구장,흐림,25.9℃,17182,0
2019-05-21,화,서울 잠실 야구장,맑음,23.8℃,10254,0
2019-05-22,수,서울 잠실 야구장,맑음,26.5℃,10082,0
2019-05-23,목,서울 잠실 야구장,맑음,29.2℃,10249,0
2019-05-24,금,서울 잠실 야구장,맑음,33.4℃,20567,0
2019-05-25,토,서울 잠실 야구장,흐림,28.6℃,25000,0
2019-05-26,일,서울 잠실 야구장,구름많음,31.1℃,22209,0
2019-05-28,화,서울 잠실 야구장,맑음,24.6℃,10353,0
2019-05-29,수,서울 잠실 야구장,맑음,26.5℃,12132,0
2019-05-30,목,서울 잠실 야구장,흐림,24.5℃,10428,0
2019-05-31,금,서울 잠실 야구장,맑음,23.3℃,10099,0
2019-06-01,토,서울 잠실 야구장,구름조금,23.7℃,18500,0
2019-06-02,일,서울 잠실 야구장,맑음,27.8℃,12536,0
2019-06-04,화,서울 잠실 야구장,구름조금,29℃,7244,0
2019-06-05,수,서울 잠실 야구장,구름조금,29.6℃,9860,0
2019-06-06,목,서울 잠실 야구장,비,25.1℃,13673,0
2019-06-07,금,서울 잠실 야구장,비,24.7℃,11436,0
2019-06-08,토,서울 잠실 야구장,구름많음,27.6℃,18312,0
2019-06-09,일,서울 잠실 야구장,비,26.5℃,10287,0
2019-06-11,화,서울 잠실 야구장,구름조금,26.1℃,10802,0
2019-06-12,수,서울 잠실 야구장,맑음,26.4℃,13909,0
2019-06-13,목,서울 잠실 야구장,구름조금,28.8℃,13705,0
2019-06-14,금,서울 잠실 야구장,구름많음,28.4℃,18227,0
2019-06-15,토,서울 잠실 야구장,비,27.4℃,23106,0
2019-06-16,일,서울 잠실 야구장,구름조금,27.2℃,17912,0
2019-06-18,화,서울 잠실 야구장,비,24.8℃,6568,0
2019-06-19,수,서울 잠실 야구장,비,25.4℃,7521,0
2019-06-20,목,서울 잠실 야구장,흐림,27.8℃,9189,0
2019-06-21,금,서울 잠실 야구장,비,26.1℃,18316,0
2019-06-22,토,서울 잠실 야구장,맑음,30.6℃,25000,0
2019-06-23,일,서울 잠실 야구장,구름조금,31℃,23321,0
2019-06-25,화,서울 잠실 야구장,맑음,32.8℃,9777,0
2019-06-26,수,서울 잠실 야구장,흐림,29.5℃,7888,0
2019-06-27,목,서울 잠실 야구장,비,31.2℃,8475,0
2019-06-28,금,서울 잠실 야구장,흐림,29℃,12213,0
2019-06-29,토,서울 잠실 야구장,비,27.7℃,16351,0
2019-06-30,일,서울 잠실 야구장,구름많음,28.5℃,14096,0
2019-07-02,화,서울 잠실 야구장,구름조금,30.1℃,10360,0
2019-07-03,수,서울 잠실 야구장,구름많음,27.4℃,11170,0
2019-07-04,목,서울 잠실 야구장,맑음,32.8℃,12362,0
2019-07-05,금,서울 잠실 야구장,구름조금,35℃,13135,0
2019-07-06,토,서울 잠실 야구장,구름조금,36.1℃,17334,0
2019-07-07,일,서울 잠실 야구장,구름많음,32.5℃,12108,0
2019-07-09,화,서울 잠실 야구장,구름조금,30℃,13844,0
2019-07-11,목,서울 잠실 야구장,비,25.9℃,11728,0
2019-07-12,금,서울 잠실 야구장,구름많음,28.7℃,15973,0
2019-07-13,토,서울 잠실 야구장,구름많음,29.7℃,21094,0
2019-07-14,일,서울 잠실 야구장,구름조금,31.6℃,14603,0
2019-07-16,화,서울 잠실 야구장,비,28.8℃,6156,0
2019-07-17,수,서울 잠실 야구장,비,29.2℃,7104,0
2019-07-18,목,서울 잠실 야구장,구름많음,32.1℃,8129,0
2019-07-27,토,서울 잠실 야구장,비,33.4℃,17926,0
2019-07-30,화,서울 잠실 야구장,비,30.8℃,9570,0
2019-07-31,수,서울 잠실 야구장,비,27.5℃,8027,0
2019-08-01,목,서울 잠실 야구장,비,30.1℃,10007,0
2019-08-03,토,서울 잠실 야구장,비,36℃,18146,0
2019-08-04,일,서울 잠실 야구장,비,34.4℃,12408,0
2019-08-06,화,서울 잠실 야구장,구름많음,36.8℃,10934,0
2019-08-07,수,서울 잠실 야구장,비,30.3℃,10137,0
2019-08-08,목,서울 잠실 야구장,구름많음,32.7℃,6334,0
2019-08-09,금,서울 잠실 야구장,구름조금,34.6℃,6126,0
2019-08-10,토,서울 잠실 야구장,구름조금,36.5℃,12450,0
2019-08-11,일,서울 잠실 야구장,비,35.7℃,8495,0
2019-08-13,화,서울 잠실 야구장,비,35.3℃,7224,0
2019-08-14,수,서울 잠실 야구장,구름조금,35.7℃,9092,0
2019-08-16,금,서울 잠실 야구장,비,29.5℃,13162,0
2019-08-17,토,서울 잠실 야구장,구름조금,28.8℃,15215,0
2019-08-18,일,서울 잠실 야구장,구름조금,30.7℃,11437,0
2019-08-20,화,서울 잠실 야구장,구름조금,32.8℃,12490,0
2019-08-21,수,서울 잠실 야구장,비,30.4℃,11806,0
2019-08-22,목,서울 잠실 야구장,구름많음,31.4℃,6670,0
2019-08-23,금,서울 잠실 야구장,구름조금,30.5℃,8330,0
2019-08-24,토,서울 잠실 야구장,구름조금,27.3℃,14388,0
2019-08-25,일,서울 잠실 야구장,구름조금,29.9℃,11273,0
2019-08-27,화,서울 잠실 야구장,비,29.3℃,9204,0
2019-08-28,수,서울 잠실 야구장,구름많음,30.2℃,10186,0
2019-08-30,금,서울 잠실 야구장,비,27℃,11752,0
2019-08-31,토,서울 잠실 야구장,맑음,28.9℃,18526,0
2019-09-01,일,서울 잠실 야구장,구름많음,27.8℃,14075,0
2019-09-03,화,서울 잠실 야구장,흐림,28℃,8566,0
2019-09-06,금,서울 잠실 야구장,비,29.1℃,9837,0
2019-09-08,일,서울 잠실 야구장,흐림,27.3℃,17675,0
2019-09-11,수,서울 잠실 야구장,비,28.7℃,8618,0
2019-09-12,목,서울 잠실 야구장,비,22.9℃,12267,0
2019-09-13,금,서울 잠실 야구장,비,29.3℃,12415,0
2019-09-14,토,서울 잠실 야구장,비,24.1℃,17406,0
2019-09-15,일,서울 잠실 야구장,구름조금,30℃,18171,0
2019-09-16,월,서울 잠실 야구장,구름조금,30.5℃,9298,0
2019-09-20,금,서울 잠실 야구장,흐림,24.2℃,13147,0
2019-09-21,토,서울 잠실 야구장,흐림,22.1℃,16912,0
2019-09-22,일,서울 잠실 야구장,비,19.6℃,14596,0
2019-09-23,월,서울 잠실 야구장,구름조금,24.6℃,11775,0
2019-09-24,화,서울 잠실 야구장,맑음,26.5℃,15115,0
2019-09-27,금,서울 잠실 야구장,흐림,27℃,19523,0
2019-09-28,토,서울 잠실 야구장,구름조금,29.2℃,22513,0
2019-09-29,일,서울 잠실 야구장,맑음,28.6℃,25000,0
2019-09-30,월,서울 잠실 야구장,맑음,29.9℃,12042,0
2019-10-01,화,서울 잠실 야구장,구름많음,28.2℃,24081,0
2020-05-05,화,서울 잠실 야구장,구름조금,19.3℃,0,0
2020-05-06,수,서울 잠실 야구장,맑음,27.6℃,0,0
2020-05-07,목,서울 잠실 야구장,구름많음,26.5℃,0,0
2020-05-08,금,서울 잠실 야구장,비,27.3℃,0,13
2020-05-10,일,서울 잠실 야구장,비,16.6℃,0,21
2020-05-12,화,서울 잠실 야구장,비,18.9℃,0,8
2020-05-13,수,서울 잠실 야구장,맑음,21.8℃,0,5
2020-05-14,목,서울 잠실 야구장,흐림,25.4℃,0,12
2020-05-16,토,서울 잠실 야구장,비,20.3℃,0,4
2020-05-16,토,서울 잠실 야구장,비,20.3℃,0,4
2020-05-17,일,서울 잠실 야구장,구름많음,24.9℃,0,1
2020-05-19,화,서울 잠실 야구장,비,17.1℃,0,9
2020-05-20,수,서울 잠실 야구장,구름많음,20.1℃,0,4
2020-05-21,목,서울 잠실 야구장,구름조금,22.9℃,0,3
2020-05-22,금,서울 잠실 야구장,흐림,22.7℃,0,3
2020-05-23,토,서울 잠실 야구장,구름많음,25℃,0,6
2020-05-24,일,서울 잠실 야구장,비,20.2℃,0,7
2020-05-26,화,서울 잠실 야구장,비,22.9℃,0,20
2020-05-27,수,서울 잠실 야구장,맑음,23.9℃,0,24
2020-05-28,목,서울 잠실 야구장,구름조금,23.4℃,0,19
2020-05-29,금,서울 잠실 야구장,맑음,27.6℃,0,9
2020-05-30,토,서울 잠실 야구장,맑음,30℃,0,6
2020-05-31,일,서울 잠실 야구장,비,28℃,0,2
2020-06-02,화,서울 잠실 야구장,비,21.8℃,0,20
2020-06-03,수,서울 잠실 야구장,구름많음,28.4℃,0,15
2020-06-04,목,서울 잠실 야구장,비,26.5℃,0,14
2020-06-05,금,서울 잠실 야구장,구름조금,28.7℃,0,28
2020-06-06,토,서울 잠실 야구장,맑음,30.9℃,0,29
2020-06-07,일,서울 잠실 야구장,구름조금,29.2℃,0,15
2020-06-09,화,서울 잠실 야구장,구름조금,32.8℃,0,13
2020-06-11,목,서울 잠실 야구장,구름많음,31.6℃,0,25
2020-06-11,목,서울 잠실 야구장,구름많음,31.6℃,0,25
2020-06-12,금,서울 잠실 야구장,흐림,27.6℃,0,30
2020-06-13,토,서울 잠실 야구장,구름조금,33.5℃,0,12
2020-06-14,일,서울 잠실 야구장,비,28.8℃,0,8
2020-06-16,화,서울 잠실 야구장,구름많음,30.7℃,0,12
2020-06-17,수,서울 잠실 야구장,구름많음,30.3℃,0,24
2020-06-18,목,서울 잠실 야구장,흐림,27.3℃,0,18
2020-06-19,금,서울 잠실 야구장,비,30℃,0,17
2020-06-20,토,서울 잠실 야구장,맑음,29.7℃,0,14
2020-06-21,일,서울 잠실 야구장,맑음,32.7℃,0,8
2020-06-23,화,서울 잠실 야구장,구름많음,31℃,0,11
2020-06-25,목,서울 잠실 야구장,비,23.4℃,0,17
2020-06-25,목,서울 잠실 야구장,비,23.4℃,0,17
2020-06-26,금,서울 잠실 야구장,비,25.7℃,0,17
2020-06-27,토,서울 잠실 야구장,구름많음,29.6℃,0,14
2020-06-28,일,서울 잠실 야구장,맑음,30.1℃,0,7
2020-06-30,화,서울 잠실 야구장,비,23.1℃,0,9
2020-07-01,수,서울 잠실 야구장,흐림,24.3℃,0,13
2020-07-02,목,서울 잠실 야구장,구름많음,29.8℃,0,11
2020-07-03,금,서울 잠실 야구장,비,30.6℃,0,7
2020-07-04,토,서울 잠실 야구장,비,29.5℃,0,16
2020-07-05,일,서울 잠실 야구장,구름조금,27.6℃,0,3
2020-07-07,화,서울 잠실 야구장,구름많음,28.1℃,0,11
2020-07-08,수,서울 잠실 야구장,구름조금,30.4℃,0,7
2020-07-09,목,서울 잠실 야구장,구름조금,32.9℃,0,8
2020-07-10,금,서울 잠실 야구장,비,27.7℃,0,8
2020-07-11,토,서울 잠실 야구장,구름많음,30.2℃,0,7
2020-07-14,화,서울 잠실 야구장,비,24.3℃,0,6
2020-07-15,수,서울 잠실 야구장,구름조금,28.7℃,0,7
2020-07-16,목,서울 잠실 야구장,구름조금,29.7℃,0,9
2020-07-17,금,서울 잠실 야구장,구름조금,31.6℃,0,6
2020-07-18,토,서울 잠실 야구장,구름조금,31℃,0,10
2020-07-19,일,서울 잠실 야구장,비,26.6℃,0,3
2020-07-21,화,서울 잠실 야구장,구름많음,30.5℃,0,17
2020-07-24,금,서울 잠실 야구장,비,26.8℃,0,11
2020-07-25,토,서울 잠실 야구장,흐림,29℃,0,7
2020-07-26,일,서울 잠실 야구장,구름많음,29.6℃,2424,9
2020-07-28,화,서울 잠실 야구장,비,26.4℃,2424,8
2020-07-30,목,서울 잠실 야구장,비,28.4℃,2424,9
2020-07-31,금,서울 잠실 야구장,비,29.6℃,2402,2
2020-08-01,토,서울 잠실 야구장,비,26.9℃,2315,4
2020-08-04,화,서울 잠실 야구장,비,29.4℃,2160,6
2020-08-05,수,서울 잠실 야구장,비,29.1℃,1827,9
2020-08-06,목,서울 잠실 야구장,비,26℃,2096,10
2020-08-07,금,서울 잠실 야구장,흐림,26.1℃,2424,16
2020-08-08,토,서울 잠실 야구장,비,26.1℃,2424,13
2020-08-11,화,서울 잠실 야구장,비,27.3℃,3169,17
2020-08-12,수,서울 잠실 야구장,흐림,31.3℃,4236,23
2020-08-13,목,서울 잠실 야구장,흐림,30.3℃,3558,35
2020-08-14,금,서울 잠실 야구장,비,28℃,1625,71
2020-08-15,토,서울 잠실 야구장,비,27℃,2382,150
2020-08-16,일,서울 잠실 야구장,흐림,30.8℃,0,91
2020-08-18,화,서울 잠실 야구장,구름조금,31.9℃,0,152
2020-08-19,수,서울 잠실 야구장,맑음,31.4℃,0,134
2020-08-20,목,서울 잠실 야구장,구름많음,31.7℃,0,127
2020-08-21,금,서울 잠실 야구장,비,29.2℃,0,127
2020-08-23,일,서울 잠실 야구장,구름많음,29.9℃,0,97
2020-08-24,월,서울 잠실 야구장,구름많음,32℃,0,142
2020-08-25,화,서울 잠실 야구장,구름많음,34.5℃,0,156
2020-08-26,수,서울 잠실 야구장,비,34.5℃,0,107
2020-08-27,목,서울 잠실 야구장,비,28.6℃,0,162
2020-08-28,금,서울 잠실 야구장,비,29.7℃,0,118
2020-08-29,토,서울 잠실 야구장,비,29℃,0,166
2020-08-30,일,서울 잠실 야구장,비,30.6℃,0,70
2020-09-01,화,서울 잠실 야구장,흐림,29.5℃,0,87
2020-09-03,목,서울 잠실 야구장,비,25.6℃,0,46
2020-09-04,금,서울 잠실 야구장,맑음,27.5℃,0,56
2020-09-05,토,서울 잠실 야구장,흐림,27.3℃,0,58
2020-09-06,일,서울 잠실 야구장,비,24.4℃,0,44
2020-09-08,화,서울 잠실 야구장,구름조금,26.5℃,0,47
2020-09-09,수,서울 잠실 야구장,비,25.3℃,0,36
2020-09-10,목,서울 잠실 야구장,비,27℃,0,64
2020-09-11,금,서울 잠실 야구장,비,27.1℃,0,38
2020-09-12,토,서울 잠실 야구장,비,23.2℃,0,34
2020-09-13,일,서울 잠실 야구장,구름조금,26.6℃,0,41
2020-09-15,화,서울 잠실 야구장,구름많음,27.7℃,0,51
2020-09-16,수,서울 잠실 야구장,비,24.9℃,0,63
2020-09-17,목,서울 잠실 야구장,흐림,23.6℃,0,46
2020-09-18,금,서울 잠실 야구장,구름조금,25.8℃,0,40
2020-09-19,토,서울 잠실 야구장,비,26.2℃,0,28
2020-09-20,일,서울 잠실 야구장,맑음,24.9℃,0,23
2020-09-22,화,서울 잠실 야구장,구름조금,25.6℃,0,40
2020-09-23,수,서울 잠실 야구장,흐림,23.8℃,0,39
2020-09-24,목,서울 잠실 야구장,구름많음,25.4℃,0,57
2020-09-25,금,서울 잠실 야구장,구름조금,25.4℃,0,26
2020-09-26,토,서울 잠실 야구장,구름조금,24.8℃,0,34
2020-09-27,일,서울 잠실 야구장,맑음,25.8℃,0,19
2020-09-27,일,서울 잠실 야구장,맑음,25.8℃,0,19
2020-09-29,화,서울 잠실 야구장,구름많음,23.9℃,0,51
2020-09-30,수,서울 잠실 야구장,비,25.7℃,0,30
2020-10-01,목,서울 잠실 야구장,구름조금,23.6℃,0,11
2020-10-02,금,서울 잠실 야구장,흐림,21.9℃,0,26
2020-10-03,토,서울 잠실 야구장,흐림,23.2℃,0,16
2020-10-04,일,서울 잠실 야구장,구름많음,21.8℃,0,19
2020-10-06,화,서울 잠실 야구장,맑음,19.7℃,0,33
2020-10-07,수,서울 잠실 야구장,구름조금,22℃,0,20
2020-10-08,목,서울 잠실 야구장,맑음,23.1℃,0,22
2020-10-09,금,서울 잠실 야구장,구름조금,23.3℃,0,25
2020-10-10,토,서울 잠실 야구장,구름조금,21.5℃,0,23
2020-10-10,토,서울 잠실 야구장,구름조금,21.5℃,0,23
2020-10-11,일,서울 잠실 야구장,구름많음,20.8℃,0,31
2020-10-13,화,서울 잠실 야구장,구름조금,18.4℃,2806,23
2020-10-14,수,서울 잠실 야구장,구름많음,18℃,2698,25
2020-10-15,목,서울 잠실 야구장,구름많음,18.5℃,2375,18
2020-10-16,금,서울 잠실 야구장,흐림,15.4℃,5490,18
2020-10-17,토,서울 잠실 야구장,맑음,18.6℃,6686,20
2020-10-18,일,서울 잠실 야구장,맑음,20.2℃,6686,14
2020-10-22,목,서울 잠실 야구장,구름조금,18.2℃,3074,20
2020-10-23,금,서울 잠실 야구장,맑음,13.3℃,4533,22
2020-10-24,토,서울 잠실 야구장,맑음,14℃,6813,17
2020-10-27,화,서울 잠실 야구장,맑음,19.4℃,3322,25
2020-10-28,수,서울 잠실 야구장,구름조금,18.2℃,6775,36
2020-10-30,금,서울 잠실 야구장,맑음,19.6℃,7216,52
2021-04-04,일,서울 잠실 야구장,비,15.8℃,2410,152
2021-04-06,화,서울 잠실 야구장,맑음,19.2℃,2245,198
2021-04-07,수,서울 잠실 야구장,맑음,20.4℃,2142,244
2021-04-08,목,서울 잠실 야구장,맑음,18℃,2273,215
2021-04-09,금,서울 잠실 야구장,맑음,19.6℃,2414,201
2021-04-10,토,서울 잠실 야구장,맑음,18.8℃,2431,214
2021-04-11,일,서울 잠실 야구장,구름조금,21.8℃,2454,162
2021-04-13,화,서울 잠실 야구장,비,13.5℃,1128,247
2021-04-14,수,서울 잠실 야구장,맑음,13.3℃,1038,217
2021-04-15,목,서울 잠실 야구장,구름조금,18.3℃,1124,216
2021-04-16,금,서울 잠실 야구장,비,14.8℃,2442,217
2021-04-17,토,서울 잠실 야구장,구름조금,14.6℃,2472,204
2021-04-18,일,서울 잠실 야구장,맑음,15.3℃,2472,137
2021-04-20,화,서울 잠실 야구장,구름조금,22℃,2453,218
2021-04-21,수,서울 잠실 야구장,구름조금,28.2℃,2457,230
2021-04-22,목,서울 잠실 야구장,흐림,27.5℃,2472,204
2021-04-23,금,서울 잠실 야구장,흐림,21.7℃,2225,253
2021-04-24,토,서울 잠실 야구장,구름많음,22.2℃,2410,175
2021-04-25,일,서울 잠실 야구장,맑음,24℃,2410,154
2021-04-27,화,서울 잠실 야구장,비,20℃,2347,257
2021-04-28,수,서울 잠실 야구장,비,18.2℃,2455,227
2021-04-29,목,서울 잠실 야구장,비,20.1℃,2472,227
2021-04-30,금,서울 잠실 야구장,비,14.6℃,2410,195
2021-05-01,토,서울 잠실 야구장,비,15.3℃,2427,182
2021-05-02,일,서울 잠실 야구장,비,18.7℃,2427,127
2021-05-05,수,서울 잠실 야구장,비,18.4℃,2427,212
2021-05-06,목,서울 잠실 야구장,구름조금,23.1℃,2427,179
2021-05-08,토,서울 잠실 야구장,맑음,21℃,2441,195
2021-05-09,일,서울 잠실 야구장,맑음,21.8℃,0,141
2021-05-09,일,서울 잠실 야구장,맑음,21.8℃,2472,141
2021-05-11,화,서울 잠실 야구장,구름많음,25.7℃,1606,223
2021-05-12,수,서울 잠실 야구장,구름조금,27.7℃,1628,227
2021-05-13,목,서울 잠실 야구장,맑음,29.6℃,1896,231
2021-05-14,금,서울 잠실 야구장,구름많음,30.8℃,2472,254
2021-05-15,토,서울 잠실 야구장,비,26.2℃,2455,213
2021-05-17,월,서울 잠실 야구장,비,16.7℃,1975,172
2021-05-18,화,서울 잠실 야구장,구름조금,24.5℃,2428,249
2021-05-19,수,서울 잠실 야구장,구름조금,26.6℃,2472,242
2021-05-20,목,서울 잠실 야구장,비,22.9℃,1929,172
2021-05-21,금,서울 잠실 야구장,비,18.2℃,2427,208
2021-05-22,토,서울 잠실 야구장,비,23.8℃,2427,181
2021-05-23,일,서울 잠실 야구장,구름많음,25.1℃,2427,139
2021-05-26,수,서울 잠실 야구장,흐림,23℃,2385,218
2021-05-27,목,서울 잠실 야구장,비,18.7℃,2085,214
2021-05-28,금,서울 잠실 야구장,비,19.7℃,2409,194
2021-05-29,토,서울 잠실 야구장,비,19.1℃,2429,160
2021-05-30,일,서울 잠실 야구장,비,26.3℃,2472,130
2021-06-01,화,서울 잠실 야구장,비,23.9℃,1656,258
2021-06-02,수,서울 잠실 야구장,구름조금,29.7℃,1820,215
2021-06-04,금,서울 잠실 야구장,구름조금,23.6℃,2427,277
2021-06-05,토,서울 잠실 야구장,구름조금,25.7℃,2427,179
2021-06-06,일,서울 잠실 야구장,구름조금,28.2℃,2427,159
2021-06-08,화,서울 잠실 야구장,비,29.5℃,1847,182
2021-06-09,수,서울 잠실 야구장,구름조금,31.6℃,1736,213
2021-06-10,목,서울 잠실 야구장,비,29.8℃,1624,202
2021-06-11,금,서울 잠실 야구장,비,24.4℃,2472,208
2021-06-12,토,서울 잠실 야구장,구름조금,30.2℃,2472,176
2021-06-13,일,서울 잠실 야구장,구름조금,29.7℃,2472,122
2021-06-15,화,서울 잠실 야구장,비,25.3℃,2706,201
2021-06-16,수,서울 잠실 야구장,맑음,28.9℃,3702,201
2021-06-17,목,서울 잠실 야구장,흐림,25℃,3258,200
2021-06-18,금,서울 잠실 야구장,비,21.4℃,4860,197
2021-06-19,토,서울 잠실 야구장,구름조금,27.4℃,7405,165
2021-06-20,일,서울 잠실 야구장,구름조금,29℃,6602,134
2021-06-22,화,서울 잠실 야구장,구름많음,28.6℃,1364,236
2021-06-23,수,서울 잠실 야구장,비,27.9℃,1585,252
2021-06-24,목,서울 잠실 야구장,구름조금,28℃,1773,269
2021-06-25,금,서울 잠실 야구장,구름조금,29.5℃,3558,263
2021-06-26,토,서울 잠실 야구장,비,26.7℃,5297,242
2021-06-30,수,서울 잠실 야구장,비,28.8℃,2851,334
2021-07-01,목,서울 잠실 야구장,맑음,31℃,2919,346
2021-07-02,금,서울 잠실 야구장,구름많음,31.8℃,4589,358
